rank,release_date,movie,category,categoryNice,start_value,production_budget,domestic_gross,worldwide_gross,rating_imdb,rating_rt,approx_income,approx_expense,profit
19,11/14/2008,Quantum of Solace,biggest_budgets,Biggest budgets,0,230000000,169368427,591692078,6.7,6.1,,,
20,05/04/12,The Avengers,biggest_budgets,Biggest budgets,0,225000000,623279547,1519479547,8.1,8,,,
1,12/18/2009,Avatar,most_profitable,Biggest budgets,0,425000000,760507625,2783918982,7.9,7.5,1785677213,516262000,1269415213
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,most_profitable,Biggest budgets,0,306000000,936662225,2058662225,8.2,8.2,1181536387,381704000,799832387
3,11/18/2005,Harry Potter and the Goblet of Fire,most_profitable,Biggest budgets,0,150000000,290013036,896911078,7.7,7.5,995712743,208064000,787648743
4,11/22/2013,Frozen,most_profitable,Biggest budgets,0,150000000,400738009,1274234980,7.6,7.7,1009426596,245904000,763522596
5,05/04/12,The Avengers,most_profitable,Biggest budgets,0,225000000,623279547,1519479547,8.1,8,992388397,300290000,692098397
6,06/12/15,Jurassic World,most_profitable,Biggest budgets,0,215000000,652198010,1670328025,7,6.7,961102415,287756000,673346415
7,07/15/2011,Harry Potter and the Deathly Hallows: Part II,most_profitable,Biggest budgets,0,125000000,381011219,1341511219,8.1,8.3,831864468,177306000,654558468
8,07/03/13,Despicable Me 2,most_profitable,Biggest budgets,0,76000000,368065385,974873764,7.2,6.6,731685062,143056000,588629062
9,04/03/15,Furious 7,most_profitable,Biggest budgets,0,190000000,351032910,1514019071,7.2,6.6,827054283,245576000,581478283
10,07/07/06,Pirates of the Caribbean: Dead Man's Chest,most_profitable,Biggest budgets,0,225000000,423315812,1066215812,7.3,6,856572077,293790000,562782077
11,07/18/2008,The Dark Knight,most_profitable,Biggest budgets,0,185000000,533345358,1002891358,8.9,8.6,817307655,263340000,553967655
12,07/10/15,Minions,most_profitable,Biggest budgets,0,74000000,336045770,1163624481,6.4,5.8,690199602,141424000,548775602
13,07/11/07,Harry Potter and the Order of the Phoenix,most_profitable,Biggest budgets,0,150000000,292004738,942943935,7.5,6.9,727734669,202594000,525140669
14,06/18/2010,Toy Story 3,most_profitable,Biggest budgets,0,200000000,415004880,1069818229,8.3,8.9,782330849,267398000,514932849
15,06/15/1994,The Lion King,most_profitable,Biggest budgets,0,79300000,422780140,987480140,8.4,8.3,673179795,197724000,475455795
16,05/01/15,Avengers: Age of Ultron,most_profitable,Biggest budgets,0,250000000,459005868,1404705868,7.5,6.7,778745620,310218000,468527620
17,11/20/2009,The Twilight Saga: New Moon,most_profitable,Biggest budgets,0,50000000,296623634,687557727,4.6,4.7,565839210,103444000,462395210
18,07/02/07,Transformers,most_profitable,Biggest budgets,0,151000000,319246193,708272592,7.1,5.8,657043135,202632000,454411135
19,11/19/2010,Harry Potter and the Deathly Hallows: Part I,most_profitable,Biggest budgets,0,125000000,295983305,960283305,7.7,7.1,634210586,180774000,453436586
20,06/30/2010,The Twilight Saga: Eclipse,most_profitable,Biggest budgets,0,68000000,300531751,706102828,4.9,5.5,566735232,117520000,449215232
1,03/11/11,Mars Needs Moms,biggest_money_losers,Biggest money losers,0,150000000,21392758,39549758,5.4,5,26339114,170166000,-143826886
2,03/09/12,John Carter,biggest_money_losers,Biggest money losers,0,275000000,73058679,282778100,6.6,5.7,179330743,307124000,-127793257
3,07/02/13,The Lone Ranger,biggest_money_losers,Biggest money losers,0,275000000,89302115,260002115,6.5,4.8,176224549,301886000,-125661451
4,03/01/13,Jack the Giant Slayer,biggest_money_losers,Biggest money losers,0,195000000,65187603,197687603,6.3,5.7,123055057,228504000,-105448943
5,12/17/2010,How Do You Know?,biggest_money_losers,Biggest money losers,0,120000000,30212620,49628177,5.4,4.9,35507802,140454000,-104946198
6,10/09/15,Pan,biggest_money_losers,Biggest money losers,0,150000000,35088320,123888320,5.8,4.6,74095312,174726000,-100630688
7,12/25/2013,47 Ronin,biggest_money_losers,Biggest money losers,0,175000000,38362475,151659062,6.3,4.1,92247545,189988000,-97740455
8,02/06/15,Jupiter Ascending,biggest_money_losers,Biggest money losers,0,179000000,47482519,181982519,5.4,4.3,109133054,206582000,-97448946
9,07/19/2013,R.I.P.D.,biggest_money_losers,Biggest money losers,0,130000000,33618855,79072464,5.6,3.6,54608023,147884000,-93275977
10,05/22/2015,Tomorrowland,biggest_money_losers,Biggest money losers,0,170000000,93436322,205336322,6.5,5.9,113536578,205644000,-92107422
11,11/23/2011,Hugo,biggest_money_losers,Biggest money losers,0,180000000,73864507,180047784,7.5,8.3,124148718,215796000,-91647282
12,06/22/2007,Evan Almighty,biggest_money_losers,Biggest money losers,0,175000000,100289690,174131329,5.4,4.4,125391753,212964000,-87572247
13,02/26/2016,Gods of Egypt,biggest_money_losers,Biggest money losers,0,140000000,31153464,133553464,5.5,3.5,77448924,161930000,-84481076
14,05/09/08,Speed Racer,biggest_money_losers,Biggest money losers,0,120000000,43945766,93394462,6.1,5.1,69202009,149420000,-80217991
15,02/12/10,The Wolfman,biggest_money_losers,Biggest money losers,0,150000000,62189884,142634358,5.8,4.8,98247637,174496000,-76248363
16,05/12/06,Poseidon,biggest_money_losers,Biggest money losers,0,160000000,60674817,181674817,5.6,4.9,118112541,194338000,-76225459
17,08/17/2007,The Invasion,biggest_money_losers,Biggest money losers,0,80000000,15074191,40147042,5.9,4.3,24954249,96162000,-71207751
18,05/09/14,Legends of Oz: Dorothy's Return,biggest_money_losers,Biggest money losers,0,70000000,8462347,20107933,5.6,3.5,11902257,82674000,-70771743
19,06/17/2011,Green Lantern,biggest_money_losers,Biggest money losers,0,200000000,116601172,231201172,5.6,4.6,161915961,231524000,-69608039
20,11/01/13,Ender's Game,biggest_money_losers,Biggest money losers,0,110000000,61737191,89737191,6.7,6,70907285,139462000,-68554715
1,02/26/1993,El Mariachi,low_budget_winners,Low budget winners,0,7000,2040920,2041928,6.9,7,,,
2,08/01/91,Slacker,low_budget_winners,Low budget winners,0,23000,1227508,1227508,7.1,7.3,,,
3,06/30/1972,Deep Throat,low_budget_winners,Low budget winners,0,25000,45000000,45000000,5.2,0,,,
4,08/01/97,In the Company of Men,low_budget_winners,Low budget winners,0,25000,2883661,2883661,7.3,7.9,,,
5,10/19/1994,Clerks,low_budget_winners,Low budget winners,0,27000,3073428,3894240,7.8,7.4,,,
6,08/09/95,The Brothers McMullen,low_budget_winners,Low budget winners,0,50000,10426506,10426506,6.6,7.1,,,
7,03/16/2001,Gabriela,low_budget_winners,Low budget winners,0,50000,2335352,2335352,6.9,0,,,
8,05/07/04,Super Size Me,low_budget_winners,Low budget winners,0,65000,11529368,22233808,7.3,7.7,,,
9,07/10/98,Pi,low_budget_winners,Low budget winners,0,68000,3221152,4678513,7.5,7.3,,,
10,08/30/1972,The Last House on the Left,low_budget_winners,Low budget winners,0,87000,3100000,3100000,6,5.4,,,
11,01/01/77,Eraserhead,low_budget_winners,Low budget winners,0,100000,7000000,7000000,7.4,8.3,,,
12,09/29/2006,Facing the Giants,low_budget_winners,Low budget winners,0,100000,10178331,10243159,6.7,4.1,,,
13,03/01/87,Hollywood Shuffle,low_budget_winners,Low budget winners,0,100000,5228617,5228617,7,6.6,,,
14,10/09/98,The Mighty,low_budget_winners,Low budget winners,0,100000,2652246,6121582,7.3,6.8,,,
15,09/17/1920,Over the Hill to the Poorhouse,low_budget_winners,Low budget winners,0,100000,3000000,3000000,4.8,0,,,
16,07/10/15,The Gallows,low_budget_winners,Low budget winners,0,100000,22764410,41753881,4.2,3.2,,,
17,02/08/15,The Birth of a Nation,low_budget_winners,Low budget winners,0,110000,10000000,11000000,6.8,8,,,
18,10/01/68,Night of the Living Dead,low_budget_winners,Low budget winners,0,114000,12000000,30000000,8,8.8,,,
19,06/15/2012,Your Sister's Sister,low_budget_winners,Low budget winners,0,120000,1597486,3090593,6.7,7,,,
20,11/16/1942,Cat People,low_budget_winners,Low budget winners,0,134000,4000000,8000000,7.4,8.3,,,
